Country,Area,BirthRate,CurrentAccountBalance,DeathRate,DebtExternal,ElectricityConsumption,ElectricityProduction,Exports,GDP
Akrotiri,123,"","","","","","","",""
American Samoa,199,23.13,"",3.33,"",120900000,130000000,30000000,500000000
Anguilla,102,14.26,"",5.43,8800000,42600000,"",2600000,112000000
Aruba,193,11.26,"",6.57,285000000,751200000,807700000,128000000,1940000000
Ashmore and Cartier Islands,5,"","","","","","","",""
Baker Island,1,"","","","","","","",""
Bassas da India,0,"","","","","","","",""
Bermuda,53,11.6,"",7.63,160000000,598000000,643000000,879000000,2330000000
Bouvet Island,59,"","","","","","","",""
British Indian Ocean Territory,60,"","","","","","","",""
British Virgin Islands,153,14.96,"",4.42,36100000,33740000,36280000,25300000,2498000000
Christmas Island,135,"","","","","","","",""
Clipperton Island,6,"","","","","","","",""
Cocos (Keeling) Islands,14,"","","","","","","",""
Dhekelia,131,"","","","","","","",""
Europa Island,28,"","","","","","","",""
Gibraltar,7,10.87,"",9.18,"",96760000,104000000,136000000,769000000
Glorioso Islands,5,"","","","","","","",""
Guernsey,78,9.01,"",9.95,"","","","",2590000000
Holy See (Vatican City),0,"","","","","","","",""
Howland Island,2,"","","","","","","",""
Jarvis Island,5,"","","","","","","",""
Jersey,116,9.66,"",9.19,"",630100000,"","",3600000000
Johnston Atoll,3,"","","","","","","",""
Juan de Nova Island,4,"","","","","","","",""
Kingman Reef,1,"","","","","","","",""
Liechtenstein,160,10.41,"",7.06,0,"","",2470000000,825000000
Macau,25,8.04,"",4.23,2700000000,1772000000,1719000000,2580000000,9100000000
Marshall Islands,181,33.52,"",4.88,86500000,"","",9000000,115000000
Midway Islands,6,"","","","","","","",""
Monaco,2,9.26,"",12.71,18000000000,"","","",870000000
Montserrat,102,17.56,"",7.17,8900000,1674000,1800000,700000,29000000
Nauru,21,25.14,"",6.82,33300000,27900000,30000000,640000,60000000
Navassa Island,5,"","","","","","","",""
Norfolk Island,35,"","","","","","",1500000,""
Palmyra Atoll,12,"","","","","","","",""
Pitcairn Islands,47,"","","","","","","",""
San Marino,61,10.18,"",8.07,"","","","",940000000
Spratly Islands,5,"","","","","","","",""
Tokelau,10,"","","",0,"","",98000,1500000
Tromelin Island,1,"","","","","","","",""
Tuvalu,26,21.91,"",7.22,"","","",1000000,12200000
Wake Island,7,"","","","","","","",""
